State,Filed_week_ended,Initial_Claims,Reflecting_Week_Ended,Continued_Claims,Covered_Employment,Insured_Unemployment_Rate
Alaska,10/19/19,"1,005",10/12/19,"5,629","306,493",1.84
Alaska,10/26/19,"1,109",10/19/19,"6,260","306,493",2.04
Alaska,11/2/19,"1,166",10/26/19,"6,357","306,493",2.07
Alaska,11/9/19,"1,319",11/2/19,"7,103","306,493",2.32
Alaska,11/16/19,"1,194",11/9/19,"7,545","306,493",2.46
Alaska,11/23/19,"1,243",11/16/19,"8,527","306,493",2.78
Alaska,11/30/19,941,11/23/19,"8,196","306,493",2.67
Alaska,12/7/19,"1,146",11/30/19,"9,537","306,493",3.11
Alaska,12/14/19,949,12/7/19,"8,645","306,493",2.82
Alaska,12/21/19,"1,027",12/14/19,"9,772","306,493",3.19
Alaska,12/28/19,860,12/21/19,"8,659","306,493",2.83
Alaska,1/4/20,981,12/28/19,"10,177","306,493",3.32
Alaska,1/11/20,"1,371",1/4/20,"9,310","307,329",3.03
Alaska,1/18/20,"1,181",1/11/20,"9,984","307,329",3.25
Alaska,1/25/20,"1,003",1/18/20,"9,496","307,329",3.09
Alaska,2/1/20,"1,122",1/25/20,"9,579","307,329",3.12
Alaska,2/8/20,980,2/1/20,"9,161","307,329",2.98
Alaska,2/15/20,915,2/8/20,"9,343","307,329",3.04
Alaska,2/22/20,773,2/15/20,"8,864","307,329",2.88
Alaska,2/29/20,874,2/22/20,"8,938","307,329",2.91
Alaska,3/7/20,815,2/29/20,"8,266","307,329",2.69
Alaska,3/14/20,"1,120",3/7/20,"8,522","307,329",2.77
Alaska,3/21/20,"7,847",3/14/20,"8,512","307,329",2.77
Alaska,3/28/20,"13,774",3/21/20,"11,173","307,329",3.64
Alaska,4/4/20,"14,590",3/28/20,"19,845","307,329",6.46
Alaska,4/11/20,"12,007",4/4/20,"35,365","308,137",11.48
Alaska,4/18/20,"12,201",4/11/20,"48,096","308,137",15.61
Alaska,4/25/20,"10,313",4/18/20,"52,022","308,137",16.88
Alaska,5/2/20,"8,718",4/25/20,"49,893","308,137",16.19
Alaska,5/9/20,"7,807",5/2/20,"50,971","308,137",16.54
Arkansas,1/5/19,"3,478",12/29/18,"14,206","1,183,443",1.2
Arkansas,1/12/19,"2,552",1/5/19,"14,322","1,185,652",1.21
Arkansas,1/19/19,"1,804",1/12/19,"13,132","1,185,652",1.11
Arkansas,1/26/19,"1,720",1/19/19,"12,740","1,185,652",1.07
Arkansas,2/2/19,"1,843",1/26/19,"13,129","1,185,652",1.11
Arkansas,2/9/19,"1,804",2/2/19,"12,835","1,185,652",1.08
Arkansas,2/16/19,"1,789",2/9/19,"12,390","1,185,652",1.04
Arkansas,2/23/19,"1,450",2/16/19,"12,466","1,185,652",1.05
Arkansas,3/2/19,"1,826",2/23/19,"12,119","1,185,652",1.02
Arkansas,3/9/19,"1,396",3/2/19,"11,632","1,185,652",0.98
Arkansas,3/16/19,"1,442",3/9/19,"10,973","1,185,652",0.93
Arkansas,3/23/19,"2,263",3/16/19,"10,415","1,185,652",0.88
Arkansas,3/30/19,"1,219",3/23/19,"11,003","1,185,652",0.93
Arkansas,4/6/19,"2,250",3/30/19,"9,788","1,185,652",0.83
Arkansas,4/13/19,"1,451",4/6/19,"10,259","1,188,140",0.86
Arkansas,4/20/19,"1,413",4/13/19,"9,669","1,188,140",0.81
Arkansas,4/27/19,"1,337",4/20/19,"9,842","1,188,140",0.83
Arkansas,5/4/19,"1,477",4/27/19,"9,624","1,188,140",0.81
Arkansas,5/11/19,"1,682",5/4/19,"9,348","1,188,140",0.79
Arkansas,5/18/19,"1,697",5/11/19,"9,623","1,188,140",0.81
Arkansas,5/25/19,"1,991",5/18/19,"9,815","1,188,140",0.83
Arkansas,6/1/19,"2,602",5/25/19,"10,139","1,188,140",0.85
Arkansas,6/8/19,"3,049",6/1/19,"11,510","1,188,140",0.97
Arkansas,6/15/19,"1,736",6/8/19,"12,900","1,188,140",1.09
Arkansas,6/22/19,"1,492",6/15/19,"12,639","1,188,140",1.06
Arkansas,6/29/19,"1,564",6/22/19,"12,603","1,188,140",1.06
Arkansas,7/6/19,"2,938",6/29/19,"12,156","1,188,140",1.02
Arkansas,7/13/19,"1,757",7/6/19,"13,856","1,190,937",1.16
Arkansas,7/20/19,"1,516",7/13/19,"13,812","1,190,937",1.16
Arkansas,7/27/19,"1,437",7/20/19,"13,004","1,190,937",1.09
Arkansas,8/3/19,"1,343",7/27/19,"13,188","1,190,937",1.11
Arkansas,8/10/19,"1,586",8/3/19,"12,339","1,190,937",1.04
Arkansas,8/17/19,"1,422",8/10/19,"11,950","1,190,937",1
Arkansas,8/24/19,"1,601",8/17/19,"10,912","1,190,937",0.92
Arkansas,8/31/19,"1,454",8/24/19,"10,774","1,190,937",0.9
Arkansas,9/7/19,"2,122",8/31/19,"10,222","1,190,937",0.86
Arkansas,9/14/19,"1,349",9/7/19,"10,809","1,190,937",0.91
Arkansas,9/21/19,"1,296",9/14/19,"10,201","1,190,937",0.86
Arkansas,9/28/19,"1,346",9/21/19,"9,781","1,190,937",0.82
Arkansas,10/5/19,"1,884",9/28/19,"9,598","1,190,937",0.81
Arkansas,10/12/19,"1,499",10/5/19,"9,712","1,193,713",0.81
Arkansas,10/19/19,"1,404",10/12/19,"9,830","1,193,713",0.82
Arkansas,10/26/19,"1,610",10/19/19,"9,940","1,193,713",0.83
Arkansas,11/2/19,"2,189",10/26/19,"10,050","1,193,713",0.84
Arkansas,11/9/19,"1,731",11/2/19,"10,637","1,193,713",0.89
Arkansas,11/16/19,"1,780",11/9/19,"10,054","1,193,713",0.84
Arkansas,11/23/19,"1,752",11/16/19,"10,767","1,193,713",0.9
Arkansas,11/30/19,"2,567",11/23/19,"10,063","1,193,713",0.84
Arkansas,12/7/19,"2,436",11/30/19,"12,569","1,193,713",1.05
Arkansas,12/14/19,"1,809",12/7/19,"11,610","1,193,713",0.97
Arkansas,12/21/19,"2,579",12/14/19,"11,755","1,193,713",0.98
Arkansas,12/28/19,"3,545",12/21/19,"12,032","1,193,713",1.01
Arkansas,1/4/20,"2,576",12/28/19,"15,323","1,193,713",1.28
Arkansas,1/11/20,"2,493",1/4/20,"15,536","1,195,622",1.3
Arkansas,1/18/20,"1,729",1/11/20,"13,229","1,195,622",1.11
Arkansas,1/25/20,"1,683",1/18/20,"12,331","1,195,622",1.03
Arkansas,2/1/20,"1,837",1/25/20,"13,210","1,195,622",1.1
Arkansas,2/8/20,"1,724",2/1/20,"12,964","1,195,622",1.08
Arkansas,2/15/20,"1,602",2/8/20,"12,979","1,195,622",1.09
Arkansas,2/22/20,"1,055",2/15/20,"12,546","1,195,622",1.05
Arkansas,2/29/20,"1,418",2/22/20,"12,244","1,195,622",1.02
Arkansas,3/7/20,"1,843",2/29/20,"11,618","1,195,622",0.97
Arkansas,3/14/20,"1,382",3/7/20,"11,514","1,195,622",0.96
Arkansas,3/21/20,"9,275",3/14/20,"10,988","1,195,622",0.92
Arkansas,3/28/20,"27,756",3/21/20,"16,148","1,195,622",1.35
Arkansas,4/4/20,"62,086",3/28/20,"36,499","1,195,622",3.05
Arkansas,4/11/20,"35,629",4/4/20,"66,511","1,196,468",5.56
Arkansas,4/18/20,"25,404",4/11/20,"91,278","1,196,468",7.63
Arkansas,4/25/20,"17,671",4/18/20,"109,337","1,196,468",9.14
Arkansas,5/2/20,"13,448",4/25/20,"119,332","1,196,468",9.97
Arkansas,5/9/20,"13,152",5/2/20,"122,522","1,196,468",10.24
Arizona,1/5/19,"3,086",12/29/18,"19,239","2,784,393",0.69
Arizona,1/12/19,"4,711",1/5/19,"19,360","2,784,393",0.7
Arizona,1/19/19,"4,210",1/12/19,"19,295","2,784,393",0.69
Arizona,1/26/19,"3,681",1/19/19,"19,580","2,784,393",0.7
Arizona,2/2/19,"3,536",1/26/19,"19,553","2,784,393",0.7
Arizona,2/9/19,"3,310",2/2/19,"19,595","2,784,393",0.7
Arizona,2/16/19,"3,224",2/9/19,"19,634","2,784,393",0.71
Arizona,2/23/19,"2,905",2/16/19,"19,362","2,784,393",0.7
Arizona,3/2/19,"3,276",2/23/19,"19,231","2,784,393",0.69
Arizona,3/9/19,"3,403",3/2/19,"19,057","2,784,393",0.68
Arizona,3/16/19,"3,388",3/9/19,"19,088","2,784,393",0.69
Arizona,3/23/19,"3,402",3/16/19,"18,987","2,784,393",0.68
Arizona,3/30/19,"3,740",3/23/19,"19,112","2,784,393",0.69
Arizona,4/6/19,"5,029",3/30/19,"18,755","2,804,467",0.67
Arizona,4/13/19,"5,848",4/6/19,"19,736","2,804,467",0.7
Arizona,4/20/19,"5,330",4/13/19,"21,027","2,804,467",0.75
Arizona,4/27/19,"5,303",4/20/19,"22,912","2,804,467",0.82
Arizona,5/4/19,"4,635",4/27/19,"23,733","2,804,467",0.85
Arizona,5/11/19,"4,264",5/4/19,"24,879","2,804,467",0.89
Arizona,5/18/19,"4,280",5/11/19,"25,497","2,804,467",0.91
Arizona,5/25/19,"4,129",5/18/19,"25,609","2,804,467",0.91
Arizona,6/1/19,"4,078",5/25/19,"25,307","2,804,467",0.9
Arizona,6/8/19,"4,670",6/1/19,"26,308","2,804,467",0.94
Arizona,6/15/19,"4,219",6/8/19,"25,992","2,804,467",0.93
Arizona,6/22/19,"4,177",6/15/19,"26,606","2,804,467",0.95
Arizona,6/29/19,"4,208",6/22/19,"26,470","2,804,467",0.94
Arizona,7/6/19,"4,412",6/29/19,"26,689","2,804,467",0.95
Arizona,7/13/19,"5,723",7/6/19,"27,400","2,825,215",0.97
Arizona,7/20/19,"4,549",7/13/19,"28,825","2,825,215",1.02
Arizona,7/27/19,"4,019",7/20/19,"29,236","2,825,215",1.03
Arizona,8/3/19,"3,908",7/27/19,"29,299","2,825,215",1.04
Arizona,8/10/19,"3,857",8/3/19,"28,871","2,825,215",1.02
Arizona,8/17/19,"3,514",8/10/19,"28,619","2,825,215",1.01
Arizona,8/24/19,"3,535",8/17/19,"27,805","2,825,215",0.98
Arizona,8/31/19,"3,622",8/24/19,"27,263","2,825,215",0.96
Arizona,9/7/19,"3,336",8/31/19,"25,986","2,825,215",0.92
Arizona,9/14/19,"3,643",9/7/19,"25,426","2,825,215",0.9
Arizona,9/21/19,"3,681",9/14/19,"24,362","2,825,215",0.86
Arizona,9/28/19,"3,757",9/21/19,"23,611","2,825,215",0.84
Arizona,10/5/19,"3,775",9/28/19,"23,284","2,825,215",0.82
Arizona,10/12/19,"3,916",10/5/19,"22,290","2,845,961",0.78
Arizona,10/19/19,"3,510",10/12/19,"21,911","2,845,961",0.77
Arizona,10/26/19,"3,880",10/19/19,"21,520","2,845,961",0.76
Arizona,11/2/19,"3,966",10/26/19,"20,865","2,845,961",0.73
Arizona,11/9/19,"3,952",11/2/19,"20,673","2,845,961",0.73
Arizona,11/16/19,"3,701",11/9/19,"20,489","2,845,961",0.72
Arizona,11/23/19,"3,730",11/16/19,"19,167","2,845,961",0.67
Arizona,11/30/19,"2,527",11/23/19,"17,371","2,845,961",0.61
Arizona,12/7/19,"4,113",11/30/19,"18,526","2,845,961",0.65
Arizona,12/14/19,"3,296",12/7/19,"17,436","2,845,961",0.61
Arizona,12/21/19,"3,294",12/14/19,"17,518","2,845,961",0.62
Arizona,12/28/19,"2,155",12/21/19,"17,508","2,845,961",0.62
Arizona,1/4/20,"3,132",12/28/19,"17,991","2,864,180",0.63
Arizona,1/11/20,"4,654",1/4/20,"18,259","2,864,180",0.64
Arizona,1/18/20,"4,152",1/11/20,"18,421","2,864,180",0.64
Arizona,1/25/20,"3,475",1/18/20,"18,401","2,864,180",0.64
Arizona,2/1/20,"3,807",1/25/20,"18,854","2,864,180",0.66
Arizona,2/8/20,"3,636",2/1/20,"18,461","2,864,180",0.64
Arizona,2/15/20,"3,538",2/8/20,"18,516","2,864,180",0.65
Arizona,2/22/20,"3,151",2/15/20,"18,217","2,864,180",0.64
Arizona,2/29/20,"3,086",2/22/20,"18,137","2,864,180",0.63
Arizona,3/7/20,"3,357",2/29/20,"17,593","2,864,180",0.61
Arizona,3/14/20,"3,844",3/7/20,"17,595","2,864,180",0.61
Arizona,3/21/20,"29,348",3/14/20,"18,108","2,864,180",0.63
Arizona,3/28/20,"88,940",3/21/20,"26,387","2,864,180",0.92
Arizona,4/4/20,"132,428",3/28/20,"62,597","2,864,180",2.19
Arizona,4/11/20,"98,531",4/4/20,"120,592","2,864,180",4.21
Arizona,4/18/20,"72,457",4/11/20,"170,262","2,885,408",5.9
Arizona,4/25/20,"52,581",4/18/20,"196,401","2,885,408",6.81
Arizona,5/2/20,"43,023",4/25/20,"218,760","2,885,408",7.58
Arizona,5/9/20,"31,570",5/2/20,"228,806","2,885,408",7.93
California,1/5/19,"38,536",12/29/18,"348,968","16,900,653",2.06
California,1/12/19,"53,519",1/5/19,"366,000","16,987,900",2.15
California,1/19/19,"48,844",1/12/19,"371,261","16,987,900",2.19
California,1/26/19,"56,886",1/19/19,"388,607","16,987,900",2.29
California,2/2/19,"48,904",1/26/19,"363,358","16,987,900",2.14
California,2/9/19,"44,850",2/2/19,"371,696","16,987,900",2.19
California,2/16/19,"43,516",2/9/19,"360,835","16,987,900",2.12
California,2/23/19,"34,449",2/16/19,"386,100","16,987,900",2.27
California,3/2/19,"41,085",2/23/19,"380,331","16,987,900",2.24
California,3/9/19,"40,896",3/2/19,"402,138","16,987,900",2.37
California,3/16/19,"41,128",3/9/19,"372,306","16,987,900",2.19
California,3/23/19,"39,832",3/16/19,"384,846","16,987,900",2.27
California,3/30/19,"38,528",3/23/19,"368,658","16,987,900",2.17
California,4/6/19,"36,227",3/30/19,"373,823","16,987,900",2.2
California,4/13/19,"39,429",4/6/19,"347,023","17,063,245",2.03
California,4/20/19,"43,900",4/13/19,"361,762","17,063,245",2.12
California,4/27/19,"40,312",4/20/19,"333,180","17,063,245",1.95
California,5/4/19,"38,392",4/27/19,"342,461","17,063,245",2.01
California,5/11/19,"39,618",5/4/19,"330,763","17,063,245",1.94
California,5/18/19,"37,428",5/11/19,"344,735","17,063,245",2.02
California,5/25/19,"38,275",5/18/19,"319,156","17,063,245",1.87
California,6/1/19,"34,781",5/25/19,"317,598","17,063,245",1.86
California,6/8/19,"41,288",6/1/19,"317,108","17,063,245",1.86
California,6/15/19,"38,753",6/8/19,"300,412","17,063,245",1.76
California,6/22/19,"44,396",6/15/19,"306,005","17,063,245",1.79
California,6/29/19,"42,404",6/22/19,"300,575","17,063,245",1.76
California,7/6/19,"35,194",6/29/19,"307,450","17,063,245",1.8
California,7/13/19,"39,061",7/6/19,"301,444","17,144,715",1.76
California,7/20/19,"39,341",7/13/19,"306,388","17,144,715",1.79
California,7/27/19,"38,438",7/20/19,"311,686","17,144,715",1.82
California,8/3/19,"36,041",7/27/19,"305,372","17,144,715",1.78
California,8/10/19,"41,404",8/3/19,"329,057","17,144,715",1.92
California,8/17/19,"35,430",8/10/19,"294,646","17,144,715",1.72
California,8/24/19,"34,596",8/17/19,"307,762","17,144,715",1.8
California,8/31/19,"34,358",8/24/19,"290,655","17,144,715",1.7
California,9/7/19,"30,771",8/31/19,"269,570","17,144,715",1.57
California,9/14/19,"34,650",9/7/19,"285,564","17,144,715",1.67
California,9/21/19,"35,161",9/14/19,"279,176","17,144,715",1.63
California,9/28/19,"33,226",9/21/19,"277,881","17,144,715",1.62
California,10/5/19,"33,326",9/28/19,"276,630","17,144,715",1.61
California,10/12/19,"40,182",10/5/19,"260,397","17,203,829",1.51
California,10/19/19,"39,191",10/12/19,"258,717","17,203,829",1.5
California,10/26/19,"41,081",10/19/19,"281,060","17,203,829",1.63
California,11/2/19,"39,332",10/26/19,"267,628","17,203,829",1.56
California,11/9/19,"45,816",11/2/19,"284,199","17,203,829",1.65
California,11/16/19,"40,749",11/9/19,"274,354","17,203,829",1.59
California,11/23/19,"49,133",11/16/19,"291,706","17,203,829",1.7
California,11/30/19,"36,457",11/23/19,"259,563","17,203,829",1.51
California,12/7/19,"48,434",11/30/19,"327,504","17,203,829",1.9
California,12/14/19,"47,521",12/7/19,"321,564","17,203,829",1.87
California,12/21/19,"49,943",12/14/19,"325,387","17,203,829",1.89
California,12/28/19,"34,301",12/21/19,"300,551","17,203,829",1.75
California,1/4/20,"36,720",12/28/19,"359,606","17,203,829",2.09
California,1/11/20,"51,993",1/4/20,"356,376","17,265,039",2.06
California,1/18/20,"64,858",1/11/20,"376,947","17,265,039",2.18
California,1/25/20,"45,596",1/18/20,"336,269","17,265,039",1.95
California,2/1/20,"43,458",1/25/20,"388,341","17,265,039",2.25
California,2/8/20,"40,392",2/1/20,"359,156","17,265,039",2.08
California,2/15/20,"43,445",2/8/20,"375,305","17,265,039",2.17
California,2/22/20,"34,979",2/15/20,"349,252","17,265,039",2.02
California,2/29/20,"41,678",2/22/20,"369,988","17,265,039",2.14
California,3/7/20,"43,385",2/29/20,"378,864","17,265,039",2.19
California,3/14/20,"57,606",3/7/20,"351,344","17,265,039",2.04
California,3/21/20,"186,333",3/14/20,"421,912","17,265,039",2.44
California,3/28/20,"1,058,325",3/21/20,"400,565","17,265,039",2.32
California,4/4/20,"918,814",3/28/20,"1,076,761","17,265,039",6.24
California,4/11/20,"655,472",4/4/20,"1,429,954","17,330,010",8.25
California,4/18/20,"528,360",4/11/20,"2,422,458","17,330,010",13.98
California,4/25/20,"325,343",4/18/20,"1,887,575","17,330,010",10.89
California,5/2/20,"316,257",4/25/20,"4,808,361","17,330,010",27.75
California,5/9/20,"212,667",5/2/20,"2,850,204","17,330,010",16.45
Colorado,1/5/19,"2,710",12/29/18,"21,864","2,571,804",0.85
Colorado,1/12/19,"3,077",1/5/19,"21,215","2,588,607",0.82
Colorado,1/19/19,"2,701",1/12/19,"21,748","2,588,607",0.84
Colorado,1/26/19,"2,409",1/19/19,"23,144","2,588,607",0.89
Colorado,2/2/19,"2,275",1/26/19,"22,589","2,588,607",0.87
Colorado,2/9/19,"2,210",2/2/19,"23,442","2,588,607",0.91
Colorado,2/16/19,"1,813",2/9/19,"22,326","2,588,607",0.86
Colorado,2/23/19,"1,925",2/16/19,"23,469","2,588,607",0.91
Colorado,3/2/19,"1,719",2/23/19,"22,043","2,588,607",0.85
Colorado,3/9/19,"1,891",3/2/19,"23,142","2,588,607",0.89
Colorado,3/16/19,"1,506",3/9/19,"21,189","2,588,607",0.82
Colorado,3/23/19,"1,550",3/16/19,"22,886","2,588,607",0.88
Colorado,3/30/19,"1,483",3/23/19,"20,354","2,588,607",0.79
Colorado,4/6/19,"1,903",3/30/19,"20,735","2,588,607",0.8
Colorado,4/13/19,"2,037",4/6/19,"18,236","2,605,045",0.7
Colorado,4/20/19,"1,989",4/13/19,"19,035","2,605,045",0.73
Colorado,4/27/19,"1,945",4/20/19,"18,239","2,605,045",0.7
Colorado,5/4/19,"1,813",4/27/19,"18,717","2,605,045",0.72
Colorado,5/11/19,"1,765",5/4/19,"18,094","2,605,045",0.69
Colorado,5/18/19,"1,617",5/11/19,"18,533","2,605,045",0.71
Colorado,5/25/19,"1,880",5/18/19,"18,166","2,605,045",0.7
Colorado,6/1/19,"1,613",5/25/19,"17,684","2,605,045",0.68
Colorado,6/8/19,"1,978",6/1/19,"18,061","2,605,045",0.69
Colorado,6/15/19,"1,517",6/8/19,"17,158","2,605,045",0.66
Colorado,6/22/19,"1,537",6/15/19,"18,078","2,605,045",0.69
Colorado,6/29/19,"1,355",6/22/19,"16,960","2,605,045",0.65
Colorado,7/6/19,"1,450",6/29/19,"17,305","2,605,045",0.66
Colorado,7/13/19,"1,809",7/6/19,"16,974","2,620,560",0.65
Colorado,7/20/19,"1,506",7/13/19,"17,249","2,620,560",0.66
Colorado,7/27/19,"1,460",7/20/19,"16,994","2,620,560",0.65
